"TierID","No","CollarID","LMT_Date","LMT_Time","Latitude....","Longitude....","Height..m.","DOP","FixType","Temp...C."
"RE02",2486,7025,"12.06.2014","00:00:48",47.2943963,8.5429352,551.95,1.8,"val. GPS-3D",22
"RE02",2487,7025,"12.06.2014","03:01:02",47.2936336,8.5444443,570.34,3.8,"val. GPS-3D",23
"RE02",2488,7025,"12.06.2014","06:00:54",47.2941513,8.5424285,551.23,2.4,"val. GPS-3D",23
"RE02",2489,7025,"12.06.2014","09:01:02",47.2942573,8.5424913,547.16,7,"val. GPS-3D",27
"RE02",2490,7025,"12.06.2014","12:02:43",47.2955477,8.5411888,548.1,4.8,"val. GPS-3D",28
"RE02",2491,7025,"12.06.2014","15:01:02",47.2959289,8.5405424,528.03,2.8,"val. GPS-3D",29
"RE02",2492,7025,"12.06.2014","18:01:39",47.2961776,8.5399083,532.45,2.4,"val. GPS-3D",25
"RE02",2493,7025,"12.06.2014","21:00:54",47.2961584,8.5399044,533.06,2,"val. GPS-3D",22
"RE02",2494,7025,"13.06.2014","00:00:53",47.2969942,8.5403072,562.97,2,"val. GPS-3D",22
"RE02",2496,7025,"13.06.2014","06:01:00",47.29351,8.5430422,524.51,7.6,"val. GPS-3D",22
"RE02",2497,7025,"13.06.2014","09:01:01",47.2933748,8.5428329,594.17,3.6,"val. GPS-3D",25
"RE02",2498,7025,"13.06.2014","12:01:27",47.2935905,8.5430801,555.71,2.2,"val. GPS-3D",26
"RE02",2499,7025,"13.06.2014","15:01:30",47.294189,8.5425808,541.92,2.6,"val. GPS-3D",26
"RE02",2500,7025,"13.06.2014","18:01:25",47.2943313,8.5426247,546.37,3.2,"val. GPS-3D",28
"RE02",2501,7025,"13.06.2014","21:00:50",47.2938441,8.5439084,556.9,4.4,"val. GPS-3D",21
"RE02",2502,7025,"14.06.2014","00:00:50",47.2941818,8.5434809,557.63,1.6,"val. GPS-3D",20
"RE02",2503,7025,"14.06.2014","03:00:50",47.2943064,8.5431299,565.26,2,"val. GPS-3D",19
"RE02",2504,7025,"14.06.2014","06:00:49",47.2936755,8.5443384,564.68,1.8,"val. GPS-3D",21
"RE02",2505,7025,"14.06.2014","09:01:29",47.2929531,8.5434316,565.33,2.2,"val. GPS-3D",24
"RE02",2506,7025,"14.06.2014","12:01:35",47.2942787,8.5417879,555.85,5.8,"GPS-3D",25
